Day,Hour,Sun_X,Sun_Y,Sun_Z
1,6,-0.920294368093161,-0.3800046576161685,-0.0930308349206226
1,7,-0.8889570165486753,-0.43659627765662756,0.1383441833444953
1,8,-0.7970358795640275,-0.48933029809493234,0.35396280320666695
1,9,-0.6507924943829018,-0.5346093433904868,0.539130762630434
1,10,-0.46019073120919524,-0.569343908283289,0.6812283060838387
1,11,-0.2382179370975491,-0.5911629297576247,0.7705703114741508
1,12,1.544897291800339e-08,-0.5985754077265992,0.8010664649484057
1,13,0.23822936928392485,-0.5910720578099891,0.7706364837501845
1,14,0.4602349017418132,-0.5691600657994638,0.6813520783837484
1,15,0.6508861940779485,-0.5343285721203912,0.5392959663992559
1,16,0.7971888901723619,-0.48894723516094696,0.35414753227182527
1,17,0.8891703423635373,-0.4361047830552501,0.13852335708263522
1,18,0.9205593884942723,-0.3793985535637021,-0.09288245156552527
2,6,-0.920835578658819,-0.3787656859285344,-0.09272751608430431
2,7,-0.8894815834448935,-0.4353862690388556,0.13878511968071425
2,8,-0.7975078041606533,-0.4881471962524207,0.3545329562872175
2,9,-0.6511791336401092,-0.5334489313758348,0.5398129060384689
2,10,-0.4604650553569237,-0.5682000824299885,0.6819975066829052
2,11,-0.23836041828234106,-0.5900281046938621,0.771395583775041
2,12,7.316542396950975e-17,-0.5974410256120407,0.8019128511974558
2,13,0.2383728107361395,-0.5899291676137347,0.7714674201159234
2,14,0.4605129360742654,-0.5679999334067702,0.6821318870703554
2,15,0.6512807038124222,-0.5331432796797456,0.5399923038098977
2,16,0.7976736671746687,-0.48773022854228454,0.35473362522068147
2,17,0.8897128279510281,-0.4348513295719198,0.13897987245971188
2,18,0.9211228599317282,-0.3781060780088697,-0.0925660341807099
3,6,-0.9214211504744293,-0.3774197542104922,-0.09239801182964306
3,7,-0.8900489741384714,-0.43407203693363366,0.13926338494859605
3,8,-0.7980181002440125,-0.48686241835218697,0.3551508092053253
3,9,-0.651597084014861,-0.5321890288775613,0.5405516419785334
3,10,-0.46076150627939777,-0.5669584419302203,0.6828301102435347
3,11,-0.23851434610269434,-0.5887965181075447,0.7722885257257392
3,12,,,
3,13,0.23852768470373495,-0.588689519636389,0.7723659709620518
3,14,0.46081304262531164,-0.5667419964426496,0.6829749989674604
3,15,0.6517064089335314,-0.5318585180532234,0.5407451093899878
3,16,0.7981966266763081,-0.4864115850104643,0.3553672960897926
3,17,0.8902978738514927,-0.4334937171765897,0.13947362827407372
3,18,0.9217303652852445,-0.37670674006080374,-0.092223455280595
4,6,-0.922050416220593,-0.375967062223359,-0.09204237106120289
4,7,-0.8906585420122155,-0.4326537406504377,0.139778761769657
4,8,-0.7985661862484306,-0.4854760858098859,0.3558159865539338
4,9,-0.6520458691718484,-0.5308297246350715,0.5413464583238565
4,10,-0.46107974610444546,-0.5656190503840075,0.6837254987017479
4,11,-0.23867954511872733,-0.5874682178143267,0.7732484515341601
4,12,1.2536224057910393e-08,-0.5948830993702912,0.8038122281251985
4,13,0.23869381465897965,-0.5873531622335064,0.7733314461845224
4,14,0.4611348793196722,-0.5653863197866263,0.6838807882028608
4,15,0.6521628241898444,-0.5304743783759958,0.541553861246808
4,16,0.7987571725516679,-0.4849914300035037,0.35604815983293847
4,17,0.8909248131484163,-0.4320321114119858,0.14000440002143155
4,18,0.9223812120170204,-0.3752007485128501,-0.09185476598092057
5,6,-0.9227226583140389,-0.37440782791055954,-0.09166064713480013
5,7,-0.8913095919256447,-0.43113155460882036,0.14033101568050588
5,8,-0.7991514371285219,-0.48398833229341215,0.3565280840821097
5,9,-0.6525249772952677,-0.5293711171921298,0.5421968040191373
5,10,-0.4614194118859673,-0.5641819793254158,0.6846830073393557
5,11,-0.23885582691889878,-0.5860432583992327,0.7742746239104699
5,12,7.267784568580407e-17,-0.5934596467847318,0.8048637447656226
5,13,0.2388710111176908,-0.5859201505834671,0.7743631042268603
5,14,0.4614780790668732,-0.5639329763563882,0.6848485823293893
5,15,0.6526494289740269,-0.5289909617371175,0.5424179986507787
5,16,0.7993546653988838,-0.4834699013994583,0.3567758026349836
5,17,0.8915929306856593,-0.4304666931488131,0.1405719461374953
5,18,0.923074657677787,-0.3735883305802494,-0.09146002190738253
6,6,-0.9234371096254995,-0.3727422878844825,-0.09125289797669328
6,7,-0.8920013809105074,-0.42950566887080077,0.14091989519437573
6,8,-0.7997731849846588,-0.4823993042980532,0.3572866689260167
6,9,-0.6530338616010538,-0.5278133155091487,0.5431020894580093
6,10,-0.46178011596722524,-0.5626473088638704,0.6857019252747806
6,11,-0.23904299030863016,-0.5845217018769358,0.7753662546301578
6,12,1.247420161620325e-08,-0.5919399402353859,0.8059820761990478
6,13,0.2390590718289737,-0.5843905473511517,0.7754601526467307
6,14,0.4618422501288904,-0.5623820477556859,0.6858776628218802
6,15,0.6531656678443079,-0.5274083798011964,0.5433369224201281
6,16,0.7999884231803838,-0.4818471501032196,0.3575497821489597
6,17,0.8923014637839902,-0.42879765913145335,0.14117600806204417
6,18,0.92380991065079,-0.3718697324013644,-0.09103928331834078
7,6,-0.9241929542497399,-0.37097069794168874,-0.09081918620971392
7,7,-0.8927331189166656,-0.42777628970474263,0.1415451318688383
7,8,-0.8004307197335895,-0.48070916175605877,0.35809127985829997
7,9,-0.653571940885968,-0.5261564396124037,0.5440616868894078
7,10,-0.4621614463701939,-0.5610151283642967,0.6867814959908298
7,11,-0.23924082151240977,-0.5829036183920322,0.7765225051391257
